***playlist*** | SongShift | 09-08-2025 02:53 | ATLA — Exploration & Spirit Journeys
Avatar's Love | Jeremy Zuckerman | Avatar: The Last Airbender OST
The Jasmine Dragon | Jeremy Zuckerman | Avatar: The Last Airbender OST
Spirit World (Bonus Track) | Jeremy Zuckerman | Avatar: The Last Airbender OST
Tales of Ba Sing Se | Jeremy Zuckerman | Avatar: The Last Airbender OST
Leaves on the Vine (Instrumental) | Jeremy Zuckerman | Avatar: The Last Airbender OST
Spirit Oasis Ambience | Avatar Ambience | Fan Soundscapes
Peaceful Days | Lofi Beats | Avatar Lofi & Chill
Eastern Air Temple | Jeremy Zuckerman | Avatar: The Last Airbender OST

***playlist*** | SongShift | 09-08-2025 02:53 | ATLA — Combat & Agni Kai
Agni Kai | Jeremy Zuckerman | Avatar: The Last Airbender OST
The Avatar State | Jeremy Zuckerman | Avatar: The Last Airbender OST
Sozin’s Comet, Pt. 4: Avatar Aang | Jeremy Zuckerman | Avatar: The Last Airbender OST
Fire Nation Assault | Jeremy Zuckerman | Avatar: The Last Airbender OST
Warrior’s Heart | Epic Score | Epic Fantasy Music
Elemental Fury | Avatar Fan Mix | Fan Made Music
Last Breath Before Battle | Two Steps from Hell | Invincible
Endless Conflict | Epic Score | Cinematic Themes

***playlist*** | SongShift | 09-08-2025 02:53 | ATLA — Spirit World & Reflection
Leaves from the Vine | Mako Iwamatsu | Avatar: The Last Airbender OST
The Spirit World | Jeremy Zuckerman | Avatar: The Last Airbender OST
Avatar Roku’s Guidance | Jeremy Zuckerman | Avatar: The Last Airbender OST
Past Lives | Jeremy Zuckerman | Legend of Korra OST
Harmonic Convergence | Jeremy Zuckerman | Legend of Korra OST
Spirit Portal | Avatar Ambience | Fan Soundscapes
Light of the Avatar | Fan Remix | Epic Avatar Mix

***playlist*** | SongShift | 09-08-2025 02:53 | ATLA — Waterbending & The North
Northern Water Tribe Theme | Jeremy Zuckerman | Avatar: The Last Airbender OST
Spirit Oasis Ambience | Avatar Ambience | Fan Soundscapes
Moon & Ocean Spirits | Jeremy Zuckerman | Avatar: The Last Airbender OST
Flow Like Water | Avatar Lofi Mix | Lofi Bending
Gentle Tide Ambience | Nature Sounds | Water Tribe Ambience

***playlist*** | SongShift | 09-08-2025 02:53 | ATLA — Earthbending & Ba Sing Se
Tales of Ba Sing Se | Jeremy Zuckerman | Avatar: The Last Airbender OST
Dai Li Theme | Jeremy Zuckerman | Avatar: The Last Airbender OST
Cave of Two Lovers | Jeremy Zuckerman | Avatar: The Last Airbender OST
Ba Sing Se Lower Ring Ambience | Avatar Ambience | Fan Soundscapes
Stone’s Resolve | Avatar Ambient | Fan Mixes

***playlist*** | SongShift | 09-08-2025 02:53 | ATLA — Firebending & Warfronts
Fire Nation Theme | Jeremy Zuckerman | Avatar: The Last Airbender OST
Agni Kai | Jeremy Zuckerman | Avatar: The Last Airbender OST
Sozin’s Comet Parts I & II | Jeremy Zuckerman | Avatar: The Last Airbender OST
Burning Embers Ambience | Avatar Ambience | Fan Soundscapes
March of the Phoenix King | Epic Mix | Fan Orchestral Covers

***playlist*** | SongShift | 09-08-2025 02:53 | ATLA — Air Temples & Nomads
Air Nomad Theme | Jeremy Zuckerman | Avatar: The Last Airbender OST
Southern Air Temple | Jeremy Zuckerman | Avatar: The Last Airbender OST
Airbending Meditation | Avatar Lofi Mix | Lofi Bending
Whispering Winds Ambience | Avatar Ambience | Fan Soundscapes
Sky Bison Flight | Gentle Soaring Tones | Fan Atmospheric

